University,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,Location
Harvard University,337,118,4,4.5,4.5,9.65,1,0.92,"Cambridge, Massachusetts"
Stanford University,324,107,4,4,4.5,8.87,1,0.76,"Stanford, California"
Massachusetts Institute of Technology ,316,104,5,4,4.5,9,1,0.72,"Cambridge, Massachusetts"
California Institute of Technology,322,110,3,3.5,2.5,8.67,1,0.8,"Pasadena, California"
Princeton University,314,103,2,2,3,8.21,0,0.65,"Princeton, New Jersey"
Yale University,330,115,5,4.5,3,9.34,1,0.9,"New Haven, Connecticut"
University of Chicago,321,109,4,3.5,4,8.2,1,0.75,"Chicago, Illinois"
Columbia University,308,101,3,3,4,7.9,0,0.68,"New York City, New York"
University of Pennsylvania,302,102,2,2,1.5,8,0,0.5,"Philadelphia, Pennsylvania"
Johns Hopkins University,323,108,4,4,4.5,8.6,0,0.45,"Baltimore, Maryland"
University of California,325,106,4,3.5,4,8.4,1,0.52,"Berkeley, California"
Northwestern University,327,111,4,4.5,4.5,9,1,0.84,"Evanston, Illinois"
University of Michigan,328,112,4,4,4.5,9.1,1,0.78,"Ann Arbor, Michigan"
Duke University,307,109,3,4,3,8,1,0.62,"Durham, North Carolina"
University of California,311,104,3,3.5,2,8.2,1,0.61,"Los Angeles, California"
Cornell University,314,105,4,3,2.5,8.3,0,0.54,"Ithaca, New York"
University of Wisconsin-Madison,317,107,4,4,3,8.7,0,0.66,"Madison, Wisconsin"
University of Texas at Austin,319,106,3,4,3,8,1,0.65,"Austin, Texas"
University of Illinois at Urbana-Champaign,318,110,3,4,3,8.8,0,0.63,"Urbana and Champaign, Illinois"
University of Washington,303,102,3,3.5,3,8.5,0,0.62,"Seattle, Washington"
University of North Carolina at Chapel Hill,312,107,3,3,2,7.9,1,0.64,"Chapel Hill, North Carolina"
New York University ,325,114,4,3,2,8.4,0,0.7,"New York City, New York"
University of Southern California ,328,116,5,5,5,9.5,1,0.94,"Los Angeles, California"
Carnegie Mellon University,334,119,5,5,4.5,9.7,1,0.95,"Pittsburgh, Pennsylvania"
University of Florida,324,112,5,5,2.5,9,1,0.88,"Gainesville, Florida"
University of Virginia,331,118,5,5,4.5,9.3,1,0.89,"Charlottesville, Virginia"
University of California,326,112,5,4,5,9.1,1,0.82,"San Diego, California"
Georgia Institute of Technology,317,109,4,4.5,4.5,9.4,1,0.84,"Atlanta, Georgia"
University of California,314,107,4,4,4.5,8.9,0,0.78,"Davis, California"
University of Minnesota,316,110,4,4.5,4,9,1,0.82,"Minneapolis, Minnesota"
University of Colorado Boulder,318,112,4,4,4.5,9.2,1,0.89,"Boulder, Colorado"
University of Maryland,319,113,4,4.5,4,9.2,1,0.84,"College Park, Maryland"
University of Rochester,312,106,3,4,3.5,8.8,0,0.77,"Rochester, New York"
Boston University,325,108,3,3,3.5,8.7,1,0.78,"Boston, Massachusetts"
University of Pittsburgh,324,110,3,3,3.5,8.8,0,0.77,"Pittsburgh, Pennsylvania"
Ohio State University,321,107,3,3,4,8.7,0,0.75,"Columbus, Ohio"
University of California,320,112,3,3,4,8.8,1,0.73,"Irvine, California"
University of California,316,110,3,3,3.5,8.6,1,0.72,"Santa Barbara, California"
Texas A&M University,322,112,3,3.5,3,8.7,0,0.71,"College Station, Texas"
Purdue University,314,107,3,3.5,3,8.6,1,0.72,"West Lafayette, Indiana"
University of Arizona,323,110,3,3.5,3,8.7,0,0.75,"Tucson, Arizona"
University of Massachusetts Amherst,320,112,3,3.5,3,8.6,1,0.78,"Amherst, Massachusetts"
University of Utah,315,110,3,3,2.5,8.5,0,0.75,"Salt Lake City, Utah"
Arizona State University,317,111,3,3,3,8.7,0,0.76,"Tempe, Arizona"
Rutgers University New Brunswick,314,107,3,3,2,8.7,0,0.75,"New Brunswick, New Jersey"
University of Delaware,312,108,3,3.5,3,8.8,1,0.78,"Newark, Delaware"
Northeastern University,321,109,3,3.5,3,8.9,1,0.76,"Boston, Massachusetts"
University of Connecticut,316,110,3,3,4,8.8,0,0.75,"Storrs, Connecticut"
University of Iowa,318,112,3,3.5,3,8.7,0,0.72,"Iowa City, Iowa"
Stony Brook University,308,106,3,3.5,3,8,0,0.69,"Stony Brook, New York"
Indiana University Bloomington,320,110,3,3,2.5,8.65,1,0.72,"Bloomington, Indiana"
Michigan State University,315,108,3,3,3,8.5,1,0.71,"East Lansing, Michigan"
University of Kansas,312,106,3,3,3,8.4,0,0.72,"Lawrence, Kansas"
University of Georgia,317,109,3,3,3,8.7,0,0.73,"Athens, Georgia"
University of Tennessee,311,106,3,3.5,3,8.5,0,0.72,"Knoxville, Tennessee"
George Mason University,308,102,3,3.5,4,8.6,0,0.7,"Fairfax, Virginia"
Florida State University,312,106,3,3,3,8.2,1,0.65,"Tallahassee, Florida"
University of Houston,319,110,3,3.5,3.5,8.8,1,0.67,"Houston, Texas"
University of Alabama,311,104,3,3.5,2.5,8.4,1,0.62,"Tuscaloosa, Alabama"
